Survey Information
ID,23
Title,eNPS March 2025
Created At,2025-03-17 03:21:16
Buyer Name,Johnny & Jugnu

Employee Statistics
Total Filtered Employees,631
Employees With Responses,454
Pending Employees,177

Response Number,Branch,Designation,Employment type,Time spent with company,"I feel comfortable approaching my Branch Leader when I have doubts or concerns. 
",My Branch Leader takes timely and effective action on employee concerns,I do not feel comfortable reporting workplace issues due to fear of retaliation from management.,My Branch Leader is actively present and engaged in daily operations.,My Branch Leader regularly recognises and appreciates good performance during shifts.,"My Branch Leader clearly communicates company policies, strategies, and changes.",I have always been treated with fairness and respect. ,I feel mentally and emotionally comfortable in my branch.,My colleagues support me during both good and difficult times.,"I feel my workplace is free from verbal, physical or emotional mistreatment.",My colleagues do not make inappropriate comments about my personal or physical attributes.,I feel accepted as part of my team. ,"Everyone at my branch is given equal opportunities for hiring, feedback, and support.",I feel like the workload is fairly distributed among team members,Promotions and career growth at JJ are based on skills and performance rather than favouritism.,I consistently receive constructive feedback from my Manager that helps me improve my performance.,My Manager consistently provides me with guidance for my growth and development.,"I understand JJ’s core values [be the best, empathy, we are one, resilience, happiness, sincerity, homie and innovation] and can apply them in my personal and professional life.",I am satisfied with my salary,I am satisfied with the perks and benefits provided by the Company.,My HR Team is approachable and addresses my concerns in a timely manner.,My company invests in my training and helps me grow in my job,I feel inspired by my training team to be better.,The training I received from my training team helped me do my job better.,"I feel that workplace safety standards and protocols are properly followed, and I feel physically safe at work.","On a scale of 1 to 10, how likely are you to recommend JJ as a workplace to your friends and family? ",What improvements would enhance your experience at JJ?
Response_214,Phase 6,Assistant Branch Leader,Permanent,6 months to 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,JJ is very good place for work but I suggest please open more branches in 2025 and creat opportunity of promotion and job to others
Response_215,Phase 6,Delivery Rider,Permanent,More than 3 years,4. strongly agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10,There should be a deal in home delivery that will increase our home delivery work
Response_216,Phase 6,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,"Khane k  Liye chair or tabe
Or kitchen me ac "
Response_217,Phase 6,Delivery Rider,Contractual,More than 1 year,3. agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,"As a rider I feel free to work in jj
I will improve my self as working in jj
Thank for asking these questions 
"
Response_218,Phase 6,Crew,Permanent,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,ہمیں کام کی پریکٹس بار بار کروائی جائے تاکہ نئے آنے والے ورکرز کو کام سمجھنے اور کام کرنے میں آسانی ہو شکریہ اور  برانچ میں کھانا کھانے کا کوئی پروپر انتظام کیا جائے شکریہ 
Response_219,Phase 6,Delivery Rider,Permanent,More than 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,4. Strongly Agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,1,Do session with weekly basis with riders and in a month do session with bl this is nessosery for the business this is very important to session with rider because riders r in the fields nd they highlight the loop hools
Response_220,Phase 6,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,2. Disagree,2. Disagree,2. Disagree,4. Strongly Agree,9,JJ mei team ko friendly hona chahiye ..  pasndgi ni honi chahiye... Senior crews ko sb k sath same hona chahiye .. frk ni krna chahiye.... New  crews k sath b seme favoritism honi chahiye... Sb crews ko sahraya jy... In baton ki wja se mera confidence bhtt zada low hai
Response_221,Phase 6,Crew,Part time,6 months to 1 year,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,"1st off all Yaha save feel hota hy....
2nd is that.....
Team friendly honi chahye.....
Favoritism nai honi chahye.....
Sab k sath equal behave krna chahye.....
Dozn matter new hy or old..... 
"
Response_222,Phase 6,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Johnny jugnu taraki kre or take is k internal employee b taraki kre
Response_223,Bahria Town,Delivery Rider,Part time,0-3 months,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2,Fast work
Response_224,Bahria Town,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Men ye Chahta hun ke Jin bachon ko 1 Saal se ziayada ho GIA  hai masln Jo permanent employee hain unko medical facility frahm ki jaye jis se wo apni family ki muft medicine le saken
Response_225,Johar Town Branch,Crew,Permanent,More than 3 years,1. strongly disagree,1. Strongly disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,2,Nothing 
Response_226,Johar Town Branch,BOH Manager,Permanent,3-6 months,3. agree,3. Agree,3. Agree,1. Strongly Disagree,2. Disagree,3. Agree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,1. Strongly Disagree,3. Agree,3. Agree,4,Many advise give to JJ . firstly no any lay out about any procedure and also policy's locked . Second as a manager our hand locked because we have no decision authority. If crew insulting us we can't take strick action against policy's. because our BL tell us and also counselling me I don't know what about talk with me . Right I talk aggressive butt I not ask to crew for my personal work I only ask crew for business work . FOS thread for manager . And also for support for crew to insulting manager . 
Response_227,Johar Town Branch,Crew,Permanent,More than 1 year,3. agree,3. Agree,3. Agree,2. Disagree,4. Strongly Agree,2. Disagree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,2. Disagree,2. Disagree,3. Agree,1. Strongly Disagree,2. Disagree,2. Disagree,2. Disagree,1. Strongly Disagree,3. Agree,10,Yahy bohat Tek ha 
Response_228,Johar Town Branch,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,"JJ is very helpful platform to increase your experience,to build the confidence or ma chata hu hmari training team aise he hmein sikhaty rhein taky hum mazeed chezein seekhein taky hmari personal growth b ho or company growth b ho or ye sb ho raha hai training hoti hai but isko or mazeed brhaya jaye thank you."
Response_229,Johar Town Branch,Crew,Contractual,6 months to 1 year,3. agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,"2. Disagree, 1. Strongly Disagree",4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,2. Disagree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,2,All ok
Response_230,Johar Town Branch,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Food wandor change hona chaiye 
Response_231,Johar Town Branch,Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,2. Disagree,3. Agree,1,G
Response_232,Johar Town Branch,Delivery Rider,Permanent,More than 3 years,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10,Thanks for all team 
Response_233,Johar Town Branch,Crew,Part time,3-6 months,3. agree,2. Disagree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,"I wanted to be full timmer 
And their is no actions on if i ask for for full timmer 
"
Response_234,Johar Town Branch,Delivery Rider,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,10,Mujhe sub theek lgta hai
Response_235,Johar Town Branch,Crew,Part time,0-3 months,3. agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,8,I think jj is brand we need to add more items as soon as possible 
Response_236,Johar Town Branch,Crew,Part time,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,8,Provide convenience or accomodation.
Response_237,Johar Town Branch,Crew,Permanent,0-3 months,4. strongly agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Jj already Bhttttttttttttttttttttttttttt kamyab h khuda hamein or behtari de kamyab kre hamein amen amen 
Response_238,Bahria Town,Assistant Branch Leader,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"Bounce not provide on time 
Employees food not well

"
Response_239,Johar Town Branch,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Johar town branch main ATM card available keya ja aur dunning be
Response_240,Johar Town Branch,Delivery Rider,Part time,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Plz full time job 🙏🏻 I'm full needy 
Response_241,Johar Town Branch,Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,Interaction with team with issue during shift
Response_242,Johar Town Branch,Crew,Contractual,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,Ma baki kafi khos hon
Response_243,Johar Town Branch,DFPL,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,As DFPL Mari yahi Saggation hn kai hamri food panda channel pai kafi complains ati hn like quality and missing ki . Agr food panda kai Jo orders hn wo Johnny and jugnu kai riders deliver kry to mjy lagata hn eas sy hamri missing or quality complaints ko resolve kr saktay hn q kai jj kai riders ki hum training krty hn about service or quality ko maintain rakhny kai liya eas sy hamra food panda ka Jo NPS hit ho raha hn wo ni ho ga 
Response_244,Johar Town Branch,Crew,Part time,6 months to 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,5,BOH manager Sarfaraz personal hotey h unko thora guide kry 
Response_245,Wehshi Lab,Delivery Rider,Part time,More than 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10,As a manger
Response_246,Phase 6,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Extra bonus 
Response_247,Johar Town Branch,Crew,Contractual,3-6 months,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,9,manager thik but kabi kuxh galat rawyie sy baat krte hai phir hum ignor kr ky thik hoo jata hai but i think manager ko thori guidness ki zarurat hai baki sub thik hai
Response_248,Johar Town Branch,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,10,"Equipment pe thora kaam Kiya jaye
"
Response_249,Phase 6,Delivery Rider,Permanent,More than 3 years,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,"10 = Extremely likely, 9","Mere khayal se kafi Kuch Karne ki zarurat hai Kiun k mujhe 3 sal se ziada arsa hogaya hai JJ mein aur JJ pehle se kafi low level pe agaya hai
I think humein HR level pe Kuch behtar Kam aur faisle Karne ki zarurat hai...
Humein JJ ko customer k Way se dekhne ki zarurat hai Kiun k customer humari first priority hai bas itna hi kehna chahon ga sir..."
Response_250,Bahria Town,BOH Manager,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"Employee food need to be change
Bonus issue"
Response_251,Johar Town Branch,Delivery Rider,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely, customer  facility mor  better
Response_252,Johar Town Branch,FOH Manager,Permanent,6 months to 1 year,3. agree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,9,"Overall doing good experience at JJ.
JJ Mai Jo Faisal lety ha Uper management at least ose phly employee se discuss kar leya jaye tkay employee happy do work happy."
Response_253,Bahria Town,Assistant Branch Leader,Permanent,0-3 months,4. strongly agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,No recommendations 
Response_254,Phase 4 (CC),Delivery Rider,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Give the Bonuses timely employee's 
Response_255,Phase 4 (CC),Delivery Rider,Permanent,More than 3 years,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,2. Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,☺️
Response_256,Phase 4 (CC),Delivery Rider,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,1 time pr 2 orders dany chahye 1 side pr jaty huwy regularly 1 hi ghr k 2 order hon to 2 riders jaty hain
Response_257,Phase 4 (CC),Assistant Branch Leader,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,Overall experience of my in the JJ is best one things improvement area always need more improvement on ground training 
Response_258,Phase 4 (CC),FOH Manager,Permanent,3-6 months,4. strongly agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,All good 
Response_259,Phase 4 (CC),BOH Manager,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,It's incredible working experience at Johnny and jugnu because of it's unique work place culture and supportive environment.
